"subject" "activity" "mean" "instrument" "signal" "signal_type" "jerk" "calc" "statistic" "axis"
1 "sitting" -0.0495135975489362 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" 0.0759460768510638 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" 0.238829870148936 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" -0.986597022553191 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "sitting" -0.981579467021277 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "sitting" -0.986053092340425 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "sitting" 0.256610823568085 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "sitting" 0.0475437839595745 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "sitting" 0.0923920032553192 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "sitting" -0.976161464042553 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "sitting" -0.975838585319149 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "sitting" -0.951315544468085 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "sitting" 0.189153021260851 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" 0.0631270669787234 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" -0.0297839207446809 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "sitting" -0.947782922553192 "accelerometer" "frequency" "body" NA "magnitude" "mean" NA
1 "sitting" 0.236655011680851 "accelerometer" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "sitting" -0.985262126808511 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "sitting" 0.351852201957447 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "sitting" -0.958435589361702 "gyroscope" "frequency" "body" NA "magnitude" "mean" NA
1 "sitting" -0.000262186717021277 "gyroscope" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "sitting" -0.989797547234043 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "sitting" 0.184775928085106 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "sitting" -0.977229008297872 "accelerometer" "time" "body" NA NA "std dev" NA
1 "sitting" -0.922618641914894 "accelerometer" "time" "body" NA NA "std dev" NA
1 "sitting" -0.93958629106383 "accelerometer" "time" "body" NA NA "std dev" NA
1 "sitting" -0.968457145744681 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "sitting" -0.935517055957447 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "sitting" -0.949040933191489 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "sitting" -0.986430711276596 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.981371965319149 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.987910804468085 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.977211283191489 "gyroscope" "time" "body" NA NA "std dev" NA
1 "sitting" -0.966473895319149 "gyroscope" "time" "body" NA NA "std dev" NA
1 "sitting" -0.941425920851064 "gyroscope" "time" "body" NA NA "std dev" NA
1 "sitting" -0.99173159212766 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.989518068510638 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.987935806382979 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "sitting" -0.927078418723404 "accelerometer" "time" "body" NA "magnitude" "std dev" NA
1 "sitting" -0.927078418723404 "accelerometer" "time" "gravity" NA "magnitude" "std dev" NA
1 "sitting" -0.984120024042553 "accelerometer" "time" "body" "jerk" "magnitude" "std dev" NA
1 "sitting" -0.934531840425532 "gyroscope" "time" "body" NA "magnitude" "std dev" NA
1 "sitting" -0.988308728510638 "gyroscope" "time" "body" "jerk" "magnitude" "std dev" NA
1 "sitting" -0.976412313191489 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.917275006382979 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.934469558085106 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.987492994468085 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "sitting" -0.982513909574468 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "sitting" -0.988339184893617 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "sitting" -0.977904227021277 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.962345042553192 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.94391784106383 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "sitting" -0.928444801702128 "accelerometer" "frequency" "body" NA "magnitude" "std dev" NA
1 "sitting" -0.981606177446808 "accelerometer" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "sitting" -0.932198374893617 "gyroscope" "frequency" "body" NA "magnitude" "std dev" NA
1 "sitting" -0.987049617234043 "gyroscope" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "standing" 0.278917629056604 "accelerometer" "time" "body" NA NA "mean" NA
1 "standing" -0.0161375901037736 "accelerometer" "time" "body" NA NA "mean" NA
1 "standing" -0.110601817735849 "accelerometer" "time" "body" NA NA "mean" NA
1 "standing" 0.942952000377358 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "standing" -0.272983832264151 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "standing" 0.0134905823226415 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "standing" 0.0753766542264151 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "standing" 0.00797573092830189 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "standing" -0.00368524954709434 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "standing" -0.0239877347979245 "gyroscope" "time" "body" NA NA "mean" NA
1 "standing" -0.0593972209811321 "gyroscope" "time" "body" NA NA "mean" NA
1 "standing" 0.074800751 "gyroscope" "time" "body" NA NA "mean" NA
1 "standing" -0.0996092129056604 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "standing" -0.0440627877924528 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "standing" -0.0489505466716981 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "standing" -0.984278207358491 "accelerometer" "time" "body" NA "magnitude" "mean" NA
1 "standing" -0.984278207358491 "accelerometer" "time" "gravity" NA "magnitude" "mean" NA
1 "standing" -0.992367790566038 "accelerometer" "time" "body" "jerk" "magnitude" "mean" NA
1 "standing" -0.976493792830189 "gyroscope" "time" "body" NA "magnitude" "mean" NA
1 "standing" -0.994966790566038 "gyroscope" "time" "body" "jerk" "magnitude" "mean" NA
1 "standing" -0.995249932641509 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "standing" -0.977070847735849 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "standing" -0.985297098679245 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "standing" 0.0865153619088679 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "standing" 0.117478948718868 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "standing" 0.244858585792453 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "standing" -0.994630797358491 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "standing" -0.985418704528302 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "standing" -0.990752166037736 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "standing" 0.314182940150943 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "standing" 0.0391618954943396 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "standing" 0.138581478749057 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "standing" -0.986386786037736 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "standing" -0.988984455849057 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "standing" -0.980773122830189 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "standing" -0.120293020603774 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "standing" -0.0447191978169811 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "standing" 0.100607635139623 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "standing" -0.985356361132075 "accelerometer" "frequency" "body" NA "magnitude" "mean" NA
1 "standing" 0.284555290773585 "accelerometer" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "standing" -0.99254247754717 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "standing" 0.422220102264151 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "standing" -0.984617623396226 "gyroscope" "frequency" "body" NA "magnitude" "mean" NA
1 "standing" -0.0286057725328302 "gyroscope" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "standing" -0.994815376981132 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "standing" 0.334498734301887 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "standing" -0.995759901509434 "accelerometer" "time" "body" NA NA "std dev" NA
1 "standing" -0.973190056415094 "accelerometer" "time" "body" NA NA "std dev" NA
1 "standing" -0.979775876981132 "accelerometer" "time" "body" NA NA "std dev" NA
1 "standing" -0.99376298509434 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "standing" -0.981225957924528 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "standing" -0.976324063584906 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "standing" -0.994604542264151 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.98564873245283 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.992251177358491 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.987191946603774 "gyroscope" "time" "body" NA NA "std dev" NA
1 "standing" -0.98773444 "gyroscope" "time" "body" NA NA "std dev" NA
1 "standing" -0.980645626981132 "gyroscope" "time" "body" NA NA "std dev" NA
1 "standing" -0.992945106981132 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.995137917358491 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.992108467169811 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "standing" -0.981942928867925 "accelerometer" "time" "body" NA "magnitude" "std dev" NA
1 "standing" -0.981942928867925 "accelerometer" "time" "gravity" NA "magnitude" "std dev" NA
1 "standing" -0.993096209433962 "accelerometer" "time" "body" "jerk" "magnitude" "std dev" NA
1 "standing" -0.978690028679245 "gyroscope" "time" "body" NA "magnitude" "std dev" NA
1 "standing" -0.994733238679245 "gyroscope" "time" "body" "jerk" "magnitude" "std dev" NA
1 "standing" -0.99602834509434 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.972293102075472 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.977937259622642 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.995073759245283 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "standing" -0.987018226792453 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "standing" -0.992349818113208 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "standing" -0.987497128679245 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.987107727735849 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.98234533 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "standing" -0.982313804716981 "accelerometer" "frequency" "body" NA "magnitude" "std dev" NA
1 "standing" -0.992536003396226 "accelerometer" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "standing" -0.978466072075472 "gyroscope" "frequency" "body" NA "magnitude" "std dev" NA
1 "standing" -0.994671123207547 "gyroscope" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "walking" 0.277330758736842 "accelerometer" "time" "body" NA NA "mean" NA
1 "walking" -0.0173838185273684 "accelerometer" "time" "body" NA NA "mean" NA
1 "walking" -0.111148103547368 "accelerometer" "time" "body" NA NA "mean" NA
1 "walking" 0.935223201473684 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "walking" -0.282165021263158 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "walking" -0.068102864 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "walking" 0.0740416333157895 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "walking" 0.0282721095884211 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "walking" -0.00416840617789474 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "walking" -0.041830963526 "gyroscope" "time" "body" NA NA "mean" NA
1 "walking" -0.0695300462115789 "gyroscope" "time" "body" NA NA "mean" NA
1 "walking" 0.0849448173042105 "gyroscope" "time" "body" NA NA "mean" NA
1 "walking" -0.0899975423705263 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "walking" -0.0398428709463158 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "walking" -0.0461309295021053 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "walking" -0.136971176556842 "accelerometer" "time" "body" NA "magnitude" "mean" NA
1 "walking" -0.136971176556842 "accelerometer" "time" "gravity" NA "magnitude" "mean" NA
1 "walking" -0.141428809031579 "accelerometer" "time" "body" "jerk" "magnitude" "mean" NA
1 "walking" -0.160979552536842 "gyroscope" "time" "body" NA "magnitude" "mean" NA
1 "walking" -0.298703679084211 "gyroscope" "time" "body" "jerk" "magnitude" "mean" NA
1 "walking" -0.202794306326316 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "walking" 0.0897127264021053 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "walking" -0.331560117789474 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "walking" -0.207548374494737 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "walking" 0.113093646103158 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "walking" 0.0497265196172632 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "walking" -0.170546964549579 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "walking" -0.0352255241130632 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "walking" -0.468999224631579 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "walking" -0.209261973376842 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "walking" -0.386237143210526 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "walking" -0.185530281244211 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "walking" -0.339032197115789 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "walking" -0.103059416434737 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "walking" -0.255940940315789 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "walking" 0.0147844986621053 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "walking" -0.0657746190010526 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "walking" 0.00077332156431579 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "walking" -0.128623450629474 "accelerometer" "frequency" "body" NA "magnitude" "mean" NA
1 "walking" 0.1906437244 "accelerometer" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "walking" -0.0571194000343158 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "walking" 0.0938221807027368 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "walking" -0.199252568986316 "gyroscope" "frequency" "body" NA "magnitude" "mean" NA
1 "walking" 0.268844367525895 "gyroscope" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "walking" -0.319308593778947 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "walking" 0.190663448793684 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "walking" -0.283740258842105 "accelerometer" "time" "body" NA NA "std dev" NA
1 "walking" 0.114461336747368 "accelerometer" "time" "body" NA NA "std dev" NA
1 "walking" -0.260027902210526 "accelerometer" "time" "body" NA NA "std dev" NA
1 "walking" -0.976609642526316 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "walking" -0.971305961473684 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "walking" -0.947717226105263 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "walking" -0.113615602435789 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "walking" 0.0670025007684211 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "walking" -0.502699788526316 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "walking" -0.473535485894737 "gyroscope" "time" "body" NA NA "std dev" NA
1 "walking" -0.0546077686594737 "gyroscope" "time" "body" NA NA "std dev" NA
1 "walking" -0.344266629473684 "gyroscope" "time" "body" NA NA "std dev" NA
1 "walking" -0.207421854757895 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "walking" -0.304468510631579 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "walking" -0.404255452631579 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "walking" -0.219688645631579 "accelerometer" "time" "body" NA "magnitude" "std dev" NA
1 "walking" -0.219688645631579 "accelerometer" "time" "gravity" NA "magnitude" "std dev" NA
1 "walking" -0.0744717500625263 "accelerometer" "time" "body" "jerk" "magnitude" "std dev" NA
1 "walking" -0.186978364526316 "gyroscope" "time" "body" NA "magnitude" "std dev" NA
1 "walking" -0.325324878894737 "gyroscope" "time" "body" "jerk" "magnitude" "std dev" NA
1 "walking" -0.319134719578947 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "walking" 0.056040006846 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "walking" -0.279686751494737 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "walking" -0.133586606326316 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "walking" 0.106739857136 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "walking" -0.534713440421053 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "walking" -0.516691938736842 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "walking" -0.0335081597884211 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "walking" -0.436562227473684 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "walking" -0.398032586842105 "accelerometer" "frequency" "body" NA "magnitude" "std dev" NA
1 "walking" -0.103492403002105 "accelerometer" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "walking" -0.321017953894737 "gyroscope" "frequency" "body" NA "magnitude" "std dev" NA
1 "walking" -0.381601911789474 "gyroscope" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "walking_downstairs" 0.289188320408163 "accelerometer" "time" "body" NA NA "mean" NA
1 "walking_downstairs" -0.00991850461020408 "accelerometer" "time" "body" NA NA "mean" NA
1 "walking_downstairs" -0.107566190908163 "accelerometer" "time" "body" NA NA "mean" NA
